"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"PR47Zoe","LZxb46z","2026-09-11 23:13:29","Something else (write in)","An indoor track should be built inside the grounds of where the current track sits. That space should consist of an indoor track and gym facilitated available to the community. The field on Martin street along with the playground on Martin St. should be completely transformed. The playground should be renovated/updated, the green space could be a mix of green space, dog park, splash pad, picnic benches and area for community to gather. Be creative look to other parks and green spaces in metro Atlanta like Chastain Park playground and tables (that is a gorgeous space). ","This should not be an indoor track or not. It should be yes an indoor track in one space (where the current track is) and the other space for green, playground, community gathering. No more parking!!! The parking lot on Hank Aaron is enough. People can walk over if they want and if they don’t want to walk, then tough go to another track. ","No","No"
"zEgk5Xa","ja4y8E1","2026-09-11 23:14:14","ATC Indoor Track Proposal","","","","No"
"kbg2oZ1","7R0Wk26","2026-09-11 23:28:33","Something else (write in)","I’m fine with the indoor track. I think if we are accepting this in the neighborhood, perhaps we could also bargain for a new playground, a splash pad, nice bathrooms in the park, new benches, shelters, etc. And community usage of the space!!!","If this indoor track proposal goes through, I’d prefer that the residents of Summerhill are able to use it! I’d love to see neighborhood-centric programming that is FOR us. Not just something that happens TO us like the events at Georgia State. I’m open to any number of uses, and I’m not wholly opposed to the indoor track. I’d like to see a reality where any development is a joy to have in the neighborhood. I’ve lived here for five years and I love it.","Yes","No"
"BE6rNrA","dWG6OVd","2026-09-11 23:53:08","Green space","","Let’s work together to beautify the green space that is already here. We should make the fields a more useable surface for multiple recreational activities. There is a need to introduce better waste management to prevent the excess of trash/litter that accumulates from the individuals using the current track. ","","No"
"NqEzpOp","pbqK8EE","2026-09-12 00:27:33","Green space","","","","No"
"4aEZJ2k","ODqA1Jg","2026-09-12 00:55:12","Green space","","","","No"
"1WOjdJO","GxErvXp","2026-09-12 00:56:02","Green space","","Open to development but indoor track with a parking lot isn’t it.","","No"
"GekMRlQ","vG6NGpv","2026-09-12 01:09:27","Green space","","I like them now.  But they should remain green space and park area no matter what.  I love all the kids athletics and GSU track practices! ","","No"
"J1GyzY4","lb2Na5N","2026-09-12 01:20:37","No preference","","","","No"
"o9gJlOO","rj9lA95","2026-09-12 02:37:53","Green space","","ATC Indoor Track Proposal will come with significant disruption to already damaged and narrowed streets. If that proposal moves forward, they should get our roads re-paved as well","","No"
"BE6vjYN","pbqLLPV","2026-09-12 02:57:35","Green space","","Keep the green space!! We don’t need a parking lot.","","No"
"DqbLO7b","PdQA2ax","2026-09-12 04:25:39","Green space","","","","No"
"2jV0zvb","VL7lGgN","2026-09-12 08:57:59","Green space","","There’s already an aggressive amount of parking lots in Summerhill. The indoor track is fine. ","","No"
"4aEe98k","Bzo154Q","2026-09-12 11:58:58","ATC Indoor Track Proposal","","The parks are rarely used , I never see anyone there except the track club. If the indoor facility gives teens a place to socialize and be active I’m all for it","","No"
"NqEGgQb","ja4MrJJ","2026-09-12 12:29:30","ATC Indoor Track Proposal","","I support the track as long as residents get time to user it, the parking is done in a responsible and respectful manner using good urban parking g practices and not just building and huge asphalt slab. It also better not take any green space access away from residents. ","","No"
"0VGNX49","QK9rPEG","2026-09-12 13:29:09","Something else (write in)","I support the indoor track as long it is accessible to everyone and retains ample green space surrounding the building. ","","Yes","No"
"e5ydRVl","vG62Djg","2026-09-12 14:20:14","ATC Indoor Track Proposal","","The ATC facility will be fantastic for this neighborhood! We as a community need to be more welcoming and open when it comes to supporting development that will actually bring people together and give kids and neighbors a place to be active.","","No"
"PR4aAVQ","MeZ5RRE","2026-09-12 14:33:19","ATC Indoor Track Proposal","","","","No"
"LDVAYZj","b5ROP1Z","2026-09-12 18:02:35","ATC Indoor Track Proposal","","I honestly really like the access the community has to the track as it is ","","No"
